Species,n_indiv,n_loc
Eucalyptus melliodora,334,124
Eucalyptus albens,225,32
Eucalyptus sideroxylon,173,24
Eucalyptus sp. aff. magnificata,35,25
Eucalyptus conica,18,18
Eucalyptus microcarpa,14,14
Eucalyptus magnificata,13,13
Eucalyptus crebra,11,11
Eucalyptus fibrosa,11,11
Eucalyptus grandis,11,2
Eucalyptus moluccana,11,11
Eucalyptus polyanthemos,10,10
Eucalyptus caleyi,9,7
Eucalyptus porosa,9,6
Corymbia maculata,8,7
Eucalyptus leucoxylon,8,8
Eucalyptus globulus,7,3
Eucalyptus melliodora x E. sideroxylon,7,1
Eucalyptus odorata,7,5
Eucalyptus woollsiana,5,2
Eucalyptus coolabah,3,3
Eucalyptus elata,3,3
Angophora costata subsp. costata,2,1
Angophora floribunda,2,1
Corymbia ficifolia,2,1
Corymbia gummifera,2,2
Eucalyptus botryoides,2,2
Eucalyptus camaldulensis subsp. camaldulensis,2,2
Eucalyptus curtisii,2,2
Eucalyptus decipiens,2,2
Eucalyptus ebbanoensis subsp. ebbanoensis,2,1
Eucalyptus exserta,2,2
Eucalyptus gomphocephala,2,1
Eucalyptus michaeliana,2,1
Eucalyptus microcorys,2,2
Eucalyptus obesa,2,2
Eucalyptus ovata subsp. ovata,2,2
Eucalyptus patens,2,2
Eucalyptus polybractea,2,1
Eucalyptus regnans,2,2
Eucalyptus sideroxylonXmelliodora,2,2
Eucalyptus tenuipes,2,2
Eucalyptus tricarpa,2,2
Eucalyptus unknown,2,1
Angophora melanoxylon,1,1
Corymbia abergiana,1,1
Corymbia aparrerinja,1,1
Corymbia calophylla,1,1
Corymbia citriodora,1,1
Corymbia deserticola subsp. deserticola,1,1
Corymbia eremaea subsp. eremaea,1,1
Corymbia eximia,1,1
Corymbia tessellaris,1,1
Corymbia trachyphloia subsp. trachyphloia,1,1
Eucalyptus acmenoides,1,1
Eucalyptus alba var. australasica,1,1
Eucalyptus albensXmicrocarpa,1,1
Eucalyptus angustissima,1,1
Eucalyptus baileyana,1,1
Eucalyptus baxteri,1,1
Eucalyptus bicostata,1,1
Eucalyptus blakelyi,1,1
Eucalyptus bosistoana,1,1
Eucalyptus brandiana,1,1
Eucalyptus bridgesiana,1,1
Eucalyptus brockwayi,1,1
Eucalyptus brunnea,1,1
Eucalyptus cajuputea,1,1
Eucalyptus caleyi subsp. caleyi,1,1
Eucalyptus camadulensis,1,1
Eucalyptus camaldulensis subsp. arida,1,1
Eucalyptus camaldulensis subsp. minima,1,1
Eucalyptus camaldulensis subsp. obtusa,1,1
Eucalyptus camaldulensis subsp. simulata,1,1
Eucalyptus chartaboma,1,1
Eucalyptus cinerea subsp. cinerea,1,1
Eucalyptus cladocalyx,1,1
Eucalyptus cloezania,1,1
Eucalyptus cloeziana,1,1
Eucalyptus cneorifolia,1,1
Eucalyptus coronata,1,1
Eucalyptus cosmophylla,1,1
Eucalyptus cypellocarpa,1,1
Eucalyptus dawsonii,1,1
Eucalyptus dealbata,1,1
Eucalyptus delicata,1,1
Eucalyptus desmondensis,1,1
Eucalyptus diversicolor,1,1
Eucalyptus diversifolia,1,1
Eucalyptus dives,1,1
Eucalyptus dunnii,1,1
Eucalyptus eremicola subsp. peeneri,1,1
Eucalyptus erythrocorys,1,1
Eucalyptus eudesmioides,1,1
Eucalyptus extrica,1,1
Eucalyptus fastigata,1,1
Eucalyptus fusiformis,1,1
Eucalyptus gillenii,1,1
Eucalyptus gongylocarpa,1,1
Eucalyptus goniocalyx subsp. exposa,1,1
Eucalyptus granitica,1,1
Eucalyptus guilfoylei,1,1
Eucalyptus haemastoma,1,1
Eucalyptus herbertiana,1,1
Eucalyptus infera,1,1
Eucalyptus intertexta,1,1
Eucalyptus jucunda,1,1
Eucalyptus kabiana,1,1
Eucalyptus kochii subsp. kochii,1,1
Eucalyptus laeliae,1,1
Eucalyptus lansdowneana,1,1
Eucalyptus largiflorens,1,1
Eucalyptus leucophloia,1,1
Eucalyptus leucoxylon subsp. leucoxylon,1,1
Eucalyptus lirata,1,1
Eucalyptus longifolia,1,1
Eucalyptus macrorhyncha subsp. macrorhyncha,1,1
Eucalyptus maidenii,1,1
Eucalyptus major,1,1
Eucalyptus mannensis subsp. mannensis,1,1
Eucalyptus mannifera subsp. 'Alpine Victoria',1,1
Eucalyptus marginata,1,1
Eucalyptus marginata subsp. marginata,1,1
Eucalyptus melanophloia subsp. melanophloia,1,1
Eucalyptus micranthera,1,1
Eucalyptus microcodon,1,1
Eucalyptus morrisbyi,1,1
Eucalyptus muelleriana,1,1
Eucalyptus nitens,1,1
Eucalyptus nobilis,1,1
Eucalyptus notabilis,1,1
Eucalyptus obliqua,1,1
Eucalyptus odontocarpa,1,1
Eucalyptus optima,1,1
Eucalyptus ornata,1,1
Eucalyptus ovata,1,1
Eucalyptus panda,1,1
Eucalyptus pauciflora subsp. parvifructa,1,1
Eucalyptus pauciflora subsp. pauciflora,1,1
Eucalyptus pilularis,1,1
Eucalyptus platyphylla,1,1
Eucalyptus pleurocarpa,1,1
Eucalyptus polyanthemos subsp. marginalis,1,1
Eucalyptus polyanthemos subsp. polyanthemos,1,1
Eucalyptus populnea,1,1
Eucalyptus populnea subsp. populnea,1,1
Eucalyptus prava,1,1
Eucalyptus pterocarpa,1,1
Eucalyptus pumila,1,1
Eucalyptus pyriformis,1,1
Eucalyptus radiata subsp. radiata,1,1
Eucalyptus recta,1,1
Eucalyptus relicta,1,1
Eucalyptus rossii,1,1
Eucalyptus roycei,1,1
Eucalyptus rudis subsp. rudis,1,1
Eucalyptus saligna,1,1
Eucalyptus salmonophloia,1,1
Eucalyptus salubris,1,1
Eucalyptus scoparia,1,1
Eucalyptus scyphocalyx,1,1
Eucalyptus sideroxylonXmicrocarpa,1,1
Eucalyptus sideroxylonXmoluccana,1,1
Eucalyptus sieberi,1,1
Eucalyptus socialis subsp. victoriensis,1,1
Eucalyptus sparsa,1,1
Eucalyptus sparsifolia,1,1
Eucalyptus squamosa,1,1
Eucalyptus stellulata,1,1
Eucalyptus strzeleckii,1,1
Eucalyptus urna,1,1
Eucalyptus viminalis,1,1
Eucalyptus viminalis subsp. cygnetensis,1,1
Eucalyptus viminalis subsp. viminalis,1,1
Eucalyptus virginea,1,1
Eucalyptus viridis,1,1
